"instance","best_coverage","best_iteration","runtime_sec","best_coverage_pct"
1,875247,128,939.990290880203,91.6380574863917
2,875247,210,1228.73213386536,91.6380574863917
3,862969,235,667.371551036835,90.3525551426899
4,851637,73,719.259296894073,89.1660986710473
5,871482,231,832.557993173599,91.2438632915686
6,858890,40,1481.31566691399,89.9254852567183
7,849001,152,753.00719499588,88.8901103848445
8,830940,82,1152.60709619522,86.9991299458808
9,862969,51,596.920724868774,90.3525551426899
10,852294,106,614.974197149277,89.2348863432913
11,875247,240,681.562498807907,91.6380574863917
12,845885,117,734.988395929337,88.5638662650388
13,875247,144,798.699970006943,91.6380574863917
14,829498,128,599.215147972107,86.8481530457653
15,853041,97,888.697443962097,89.3130969843359
16,875247,67,1284.55283212662,91.6380574863917
17,851637,228,746.061319112778,89.1660986710473
18,875247,9,696.749414920807,91.6380574863917
19,875247,179,957.796986818314,91.6380574863917
20,856254,222,825.764081001282,89.6494969705155
