"instance","best_coverage","best_iteration","runtime_sec","runtime_min"
1,839959.803466883,117,696.311881065369,11.6051980177561
2,852581.323176152,220,1066.38394212723,17.7730657021205
3,858613.366940215,199,1383.92672395706,23.0654453992844
4,843718.963469273,101,798.461473941803,13.3076912323634
5,859467.627368169,161,913.893863916397,15.2315643986066
6,865280.83247836,139,747.588156938553,12.4598026156425
7,870847.03830074,188,889.3311419487,14.822185699145
8,833805.967652563,95,1790.76209902763,29.8460349837939
9,874539.11743362,240,763.877600908279,12.7312933484713
10,847377.47994019,147,921.333713054657,15.3555618842443
