"instance","best_coverage","runtime_sec","runtime_min"
1,881224.235179099,0.206594944000244,0.00344324906667074
2,902072.373907468,0.224151849746704,0.00373586416244507
3,906190.074807222,0.184674978256226,0.00307791630427043
4,905985.073628676,0.225228071212769,0.00375380118687948
5,903015.766141189,0.195595026016235,0.00325991710027059
6,904811.398327629,0.212349891662598,0.00353916486104329
7,904033.121697447,0.199352979660034,0.00332254966100057
8,875848.212010364,0.220135927200317,0.00366893212000529
9,909813.221232641,0.259811162948608,0.00433018604914347
10,906629.298671517,961.81049990654,16.0301749984423
